,Unnamed: 0,Nom de l'établissement,Commune,CP,Région,Département,Categorie_filiere,activite,Cognitif,Physique,Sensoriel
0,0,Le Gîte d'Enora - Quemeneven,QUEMENEVEN,29180,Bretagne,Finistère,Hébergement,Meublé de tourisme,True,True,True
1,1,Gite de Kerlouan,KERLOUAN,29890,Bretagne,Finistère,Hébergement,Meublé de tourisme,True,True,True
2,2,CELTAVENTURES SARL CAPALOU,SARZEAU,56370,Bretagne,Morbihan,Loisir,Parc de loisir,True,False,False
3,3,Chambres d'Hôtes de la Cotterie,SAINT-SENOCH,37600,Centre - Val de Loire,Indre-et-Loire,Hébergement,Chambre d'hôtes,True,True,False
4,4,Gîte rural de la Coutellerie 150058,POILLY-LEZ-GIEN,45500,Centre - Val de Loire,Loiret,Hébergement,Meublé de tourisme,True,True,True
5,5,Office de Tourisme Sauldre et Sologne,AUBIGNY-SUR-NERE,18700,Centre - Val de Loire,Cher,Information touristique,Office de tourisme,True,True,True
6,6,Hôtel Ibis Budget Apt-Luberon,APT,84400,Provence Alpes-Côte d'Azur,Vaucluse,Hébergement,Hôtel,True,True,True
7,7,Gîte La Maison Blanche,MALLEMOISSON,4510,Provence Alpes-Côte d'Azur,Alpes-de-Haute-Provence,Hébergement,Meublé de tourisme,True,True,True
8,8,Office de tourisme de Théoule sur Mer,THEOULE-SUR-MER,6590,Provence Alpes-Côte d'Azur,Alpes-Maritimes,Information touristique,Office de tourisme,True,True,True
9,9,SARL Raygus - Bar restaurant Les Terrasses,GORBIO,6500,Provence Alpes-Côte d'Azur,Alpes-Maritimes,Restauration,Restaurant,True,True,False
10,10,Restaurant la Buvette du Lac,LE LAUZET-UBAYE,4340,Provence Alpes-Côte d'Azur,Alpes-de-Haute-Provence,Restauration,Restaurant,True,True,False
11,11,Chambre d'Hôtes Pégase - Le Clos de l'Ane,SAVASSE,26740,Auvergne Rhône-Alpes,Drôme,Hébergement,Chambre d'hôtes,True,True,True
12,12,Centre Aqua Passion,LAVOUTE-SUR-LOIRE,43800,Auvergne Rhône-Alpes,Haute-Loire,Loisir,Etablissement de loisir,True,True,False
13,13,Le Champ de l'Oustau,SAINT-CHRISTOPHE-SUR-DOLAISON,43370,Auvergne Rhône-Alpes,Haute-Loire,Hébergement,Meublé de tourisme,True,False,False
14,14,Gîte Côté Cour,LAIVES,71240,Bourgogne Franche-Comté,Saône-et-Loire,Hébergement;Loisir,Loisir éducatif;Meublé de tourisme,True,True,False
15,15,Office de Tourisme de Montbard,MONTBARD,21500,Bourgogne Franche-Comté,Côte-d'Or,Information touristique,Office de tourisme,True,True,True
16,16,Chambres d'Hôtes Le Faing du Bray,PLOMBIERES-LES-BAINS,88370,Grand Est,Vosges,Hébergement,Chambre d'hôtes,True,True,False
17,17,Musée de la bière,STENAY,55700,Grand Est,Meuse,Visite,Lieu de visite,True,True,True
18,18,Office de Tourisme Sarreguemines Confluences,SARREGUEMINES,57200,Grand Est,Moselle,Information touristique,Office de tourisme,True,True,True
19,19,Restaurant Le Palmier,CHAUMONT,52000,Grand Est,Haute-Marne,Restauration,Restaurant,True,True,True
20,20,Centre de Vacances du Caps,BADONVILLER,54540,Grand Est,Meurthe-et-Moselle,Hébergement,Village de vacances,True,True,False
21,21,Sentier Découverte de Ramberchamp,GERARDMER,88400,Grand Est,Vosges,Loisir,Sortie nature,True,True,True
22,22,Camping Larrouleta,URRUGNE,64122,Nouvelle Aquitaine,Pyrénées-Atlantiques,Hébergement,Camping,True,True,True
23,23,Auberge du Relais,BERENX,64300,Nouvelle Aquitaine,Pyrénées-Atlantiques,Hébergement;Restauration,Hôtel;Restaurant,True,True,True
24,24,Hôtel le Vatel,BORDEAUX,33000,Nouvelle Aquitaine,Gironde,Hébergement;Restauration,Hôtel;Restaurant,True,True,False
25,25,La Maison d'Antan,ARZACQ-ARRAZIGUET,64410,Nouvelle Aquitaine,Pyrénées-Atlantiques,Hébergement;Restauration,Hôtel;Restaurant,True,False,False
26,26,La Tour Monréal,SAUVETERRE-DE-BEARN,64390,Nouvelle Aquitaine,Pyrénées-Atlantiques,Visite,Lieu de visite,True,False,False
27,27,Meublé Les Galards,MONTLIEU-LA-GARDE,17210,Nouvelle Aquitaine,Charente-Maritime,Hébergement,Meublé de tourisme,True,True,False
28,28,Gîte du Pierril,JAYAC,24590,Nouvelle Aquitaine,Dordogne,Hébergement,Meublé de tourisme,True,True,False
29,29,Gîte Châteaux Croix Grand Barrail,MARANSIN,33230,Nouvelle Aquitaine,Gironde,Hébergement,Meublé de tourisme,True,False,False
30,30,Le gîte de la Forge Fleurie,BOUILLE-SAINT-PAUL,79290,Nouvelle Aquitaine,Deux-Sèvres,Hébergement,Meublé de tourisme,True,True,True
31,31,Les Lodges du Parc de la belle,MAGNE,86160,Nouvelle Aquitaine,Vienne,Hébergement,Meublé de tourisme,True,True,True
32,32,Gîte d'étape de Lhers,ACCOUS,64490,Nouvelle Aquitaine,Pyrénées-Atlantiques,Hébergement,Meublé de tourisme,True,False,False
33,33,Meublé Etcheverry 1,BIDARRAY,64780,Nouvelle Aquitaine,Pyrénées-Atlantiques,Hébergement,Meublé de tourisme,True,True,False
34,34,Meublé Etcheverry 2,BIDARRAY,64780,Nouvelle Aquitaine,Pyrénées-Atlantiques,Hébergement,Meublé de tourisme,True,True,False
35,35,Meublé Biansan,LAAS,64390,Nouvelle Aquitaine,Pyrénées-Atlantiques,Hébergement,Meublé de tourisme,True,False,False
36,36,Office de Tourisme d'Espelette,ESPELETTE,64250,Nouvelle Aquitaine,Pyrénées-Atlantiques,Information touristique,Office de tourisme,True,False,False
37,37,Office de Tourisme La Teste,LA TESTE-DE-BUCH,33260,Nouvelle Aquitaine,Gironde,Information touristique,Office de tourisme,True,True,False
38,38,Plage du Petit Nice,LA TESTE-DE-BUCH,33260,Nouvelle Aquitaine,Gironde,Information touristique,Office de tourisme,True,False,False
39,39,Office de Tourisme de Meschers sur Gironde,MESCHERS-SUR-GIRONDE,17132,Nouvelle Aquitaine,Charente-Maritime,Information touristique,Office de tourisme,True,True,False
40,40,Office de tourisme des Eaux-Bonnes,EAUX-BONNES,64440,Nouvelle Aquitaine,Pyrénées-Atlantiques,Information touristique,Office de tourisme,True,True,True
41,41,Office de tourisme de Saujon,SAUJON,17600,Nouvelle Aquitaine,Charente-Maritime,Information touristique,Office de tourisme,True,True,True
42,42,Restaurant La Rivière,LES EYZIES-DE-TAYAC-SIREUIL,24620,Nouvelle Aquitaine,Dordogne,Restauration,Restaurant,True,True,True
43,43,Restaurant Aux petits oignons,CHAMPAGNE-SAINT-HILAIRE,86160,Nouvelle Aquitaine,Vienne,Restauration,"Café, bar, brasserie;Restaurant",True,True,True
44,44,Maison des Métiers du Cuir,GRAULHET,81300,Occitanie,Tarn,Visite,Lieu de visite,True,False,False
45,45,VINOVALIE Cave de Técou,BRENS,81600,Occitanie,Tarn,Visite,Lieu de visite,True,False,False
46,46,Meublé Palmeraie Villa Marrakech Lamalou,LAMALOU-LES-BAINS,34240,Occitanie,Hérault,Hébergement,Meublé de tourisme,True,True,True
47,47,Gite Papillon,SEGUR,12290,Occitanie,Aveyron,Hébergement,Meublé de tourisme,True,True,False
48,48,Office de Tourisme de Thuir,THUIR,66300,Occitanie,Pyrénées-Orientales,Information touristique,Office de tourisme,True,False,False
49,49,Restaurant My Ami Clermont,CLERMONT-L'HERAULT,34800,Occitanie,Hérault,Restauration,Restaurant,True,False,False
50,50,Musée du Vieux Château,LAVAL,53000,Pays de la Loire,Mayenne,Visite,Lieu de visite,True,True,True
51,51,Office de Tourisme de Notre-Dame-De-Monts,NOTRE-DAME-DE-MONTS,85690,Pays de la Loire,Vendée,Information touristique,Office de tourisme,True,True,True
52,52,"Chambre d'Hôtes ""Etable"" - Une Etape à Sailly au Bois",SAILLY-AU-BOIS,62111,Hauts de France,Pas-de-Calais,Hébergement,Chambre d'hôtes,True,True,False
53,53,Maison du théâtre,AMIENS,80000,Hauts de France,Somme,Loisir,Etablissement de loisir,True,True,False
54,54,Gîte La Ferme Eustache,LOUVIGNY,14111,Normandie,Calvados,Hébergement,Meublé de tourisme,True,True,True
55,55,Gite Les Ferrières,SAINT-LEONARD,76400,Normandie,Seine-Maritime,Hébergement,Meublé de tourisme,True,True,True
56,56,La Cour de Boitron,BOITRON,61500,Normandie,Orne,Hébergement,Meublé de tourisme,True,True,True
57,57,la baratte,SAINT-DENIS-LE-VETU,50210,Normandie,Manche,Restauration,Restaurant,True,True,True
58,58,Office de Tourisme de Locquirec,LOCQUIREC,29241,Bretagne,Finistère,Information touristique,Office de tourisme,True,True,False
59,59,Château d'Ygrande,YGRANDE,3160,Auvergne Rhône-Alpes,Allier,Hébergement;Restauration,Hôtel;Restaurant,True,False,False
60,60,Hôtel Eveil des Sens,TRELINS,42130,Auvergne Rhône-Alpes,Loire,Hébergement,Hôtel,True,True,True
61,61,Restaurant Apicius,CLERMONT-FERRAND,63000,Auvergne Rhône-Alpes,Puy-de-Dôme,Restauration,Restaurant,True,True,False
62,62,CAMPING LE LAC,MARCILLAC-LA-CROISILLE,19320,Nouvelle Aquitaine,Corrèze,Hébergement,Camping,True,False,False
63,63,"Chambre d'hôtes Perdrix Rouge, Belle Pierre",MASSOULES,47140,Nouvelle Aquitaine,Lot-et-Garonne,Hébergement,Chambre d'hôtes,True,True,True
64,64,POINTON DE PECHE n° 16,LEON,40550,Nouvelle Aquitaine,Landes,Loisir,Etablissement de loisir,True,True,True
65,65,PONTON DE PECHE n° 6,BISCARROSSE,40600,Nouvelle Aquitaine,Landes,Loisir,Etablissement de loisir,True,True,True
66,66,SENTIER PEDAGOGIQUE MAISON DU PARC,ETSAUT,64490,Nouvelle Aquitaine,Pyrénées-Atlantiques,Visite,Lieu de visite,True,True,True
67,67,OFFICE TOURISME ENTRE DEUX MERS -LA REOLE,LA REOLE,33190,Nouvelle Aquitaine,Gironde,Information touristique,Office de tourisme,True,False,False
68,68,Office de Tourisme Dreux agglomération,DREUX,28100,Centre - Val de Loire,Eure-et-Loir,Information touristique,Office de tourisme,True,True,True
69,69,Site archéologique Glanum,SAINT-REMY-DE-PROVENCE,13210,Provence Alpes-Côte d'Azur,Bouches-du-Rhône,Visite,Lieu de visite,True,True,False
70,70,Centre d'accueil Le Petit Chalet,LES ESTABLES,43150,Auvergne Rhône-Alpes,Haute-Loire,Hébergement;Information touristique;Loisir,Hébergement collectif;Office de tourisme;Sortie nature;Sport de nature;Village de vacances,True,True,False
71,71,Hôtel Marie Galante,SAINT-GEORGES-D'OLERON,17190,Nouvelle Aquitaine,Charente-Maritime,Hébergement;Restauration,"Café, bar, brasserie;Hôtel",True,True,False
72,72,Abri préhistorique de la Chaire à Calvin,MOUTHIERS-SUR-BOEME,16440,Nouvelle Aquitaine,Charente,Visite,Lieu de visite,True,False,False
73,73,Gîte L'Alambic,CHERVES-RICHEMONT,16370,Nouvelle Aquitaine,Charente,Hébergement,Meublé de tourisme,True,False,False
74,74,"gîte la faye ""la belle campagne""",GENOUILLE,86250,Nouvelle Aquitaine,Vienne,Hébergement,Meublé de tourisme,True,True,False
75,75,Office de Tourisme du Pays Montponnais,MONTPON-MENESTEROL,24700,Nouvelle Aquitaine,Dordogne,Information touristique,Office de tourisme,True,True,True
76,76,Camping Le Mas de Rey,ARPAILLARGUES-ET-AUREILLAC,30700,Occitanie,Gard,Hébergement,Camping,True,True,False
77,77,Bureau d'Information Touristique de Wormhout,WORMHOUT,59470,Hauts de France,Nord,Information touristique,Office de tourisme,True,True,True
78,78,Gite n°1091 La Charretterie,PLEINE-SEVE,76460,Normandie,Seine-Maritime,Hébergement,Meublé de tourisme,True,True,True
79,79,Gite Mer,SASSETOT-LE-MAUCONDUIT,76540,Normandie,Seine-Maritime,Hébergement,Meublé de tourisme,True,True,True
80,80,Restaurant Le Panoramique,LA PERNELLE,50630,Normandie,Manche,Restauration,Restaurant,True,True,True
81,81,MUSEE NATIONAL DE LA MARINE,ROCHEFORT,17300,Nouvelle Aquitaine,Charente-Maritime,Visite,Lieu de visite,True,True,False
82,82,Hôtel Best Western Colbert - restaurant La Manufacture,CHATEAUROUX,36000,Centre - Val de Loire,Indre,Hébergement;Restauration,Hôtel;Restaurant,True,False,False
83,83,Office de tourisme de Reims - Site de la Gare,REIMS,51100,Grand Est,Marne,Information touristique,Office de tourisme,True,True,True
84,84,OFFICE DU TOURISME,LE GRAU-DU-ROI,30240,Occitanie,Gard,Information touristique,Office de tourisme,True,True,True
85,85,SARL HUCHET YVES ET JEREMIE,CHATEAU-THEBAUD,44690,Pays de la Loire,Loire-Atlantique,Visite,Visite d'entreprise,True,True,False
86,86,Nolimit Aventure Le Coudray-Montceaux,LE COUDRAY-MONTCEAUX,91830,Ile-de-France,Essonne,Loisir;Visite,Parc de loisir;Parc à thème,True,False,False
87,87,Euro Disney Associés S.C.A Parc 2 Studios,SERRIS,77700,Ile-de-France,Seine-et-Marne,Loisir;Restauration;Visite,Etablissement de loisir;Parc à thème;Restaurant,True,True,True
88,88,Hôtel Restaurant La Villa Bel Ange,SAINT-PHILIBERT,56470,Bretagne,Morbihan,Hébergement;Restauration,Hôtel;Restaurant,True,False,False
89,89,"Gîte ""Les Agapes""",AUBURE,68150,Grand Est,Haut-Rhin,Hébergement,Meublé de tourisme,True,True,False
90,90,Chalet - Les Ruches Cévenoles,ROUSSES,48400,Occitanie,Lozère,Hébergement,Meublé de tourisme,True,True,True
91,91,Gite rural communal,FOREST-L'ABBAYE,80150,Hauts de France,Somme,Hébergement,Meublé de tourisme,True,True,True
92,92,Maison du Parc- Parc Naturel Régional Normandie Maine et son parcours découverte,CARROUGES,61320,Normandie,Orne,Information touristique,Office de tourisme,True,True,True
93,93,LA GRANGE AUX LOUPS,QUEIGE,73720,Auvergne Rhône-Alpes,Savoie,Hébergement,Chambre d'hôtes,True,True,True
94,94,Hôtel de l'Illwald,SELESTAT,67600,Grand Est,Bas-Rhin,Hébergement,Hôtel,True,False,False
95,95,CHAMBRES D'HOTES DE KERMAUNY,LANDEHEN,22400,Bretagne,Côtes-d'Armor,Hébergement,Chambre d'hôtes,True,True,True
96,96,Office de Tourisme du Buëch-Dévoluy - BIT d'Aspres sur Buëch,ASPRES-SUR-BUECH,5140,Provence Alpes-Côte d'Azur,Hautes-Alpes,Information touristique,Office de tourisme,True,False,False
97,97,Hotel IBIS Bastide,BORDEAUX,33000,Nouvelle Aquitaine,Gironde,Hébergement,Hôtel,True,True,True
98,98,Château et Jardin du Rivau,LEMERE,37120,Centre - Val de Loire,Indre-et-Loire,Loisir,Sortie nature,True,True,True
99,99,Hôtel Restaurant Etchémaïté,LARRAU,64560,Nouvelle Aquitaine,Pyrénées-Atlantiques,Hébergement;Restauration,Hôtel;Restaurant,True,True,True
100,100,Gîte Les Verdasses,LES CONTAMINES-MONTJOIE,74170,Auvergne Rhône-Alpes,Haute-Savoie,Hébergement,Meublé de tourisme,True,True,True
101,101,Station Vélo de Créon,CREON,33670,Nouvelle Aquitaine,Gironde,Loisir,Sport de nature,True,True,True
102,102,Gîte N°2 des Architectes - 5 pers.,SAINTE-SOULINE,16480,Nouvelle Aquitaine,Charente,Hébergement,Meublé de tourisme,True,False,False
103,103,Gîte Le Verger,PRANZAC,16110,Nouvelle Aquitaine,Charente,Hébergement,Meublé de tourisme,True,True,True
104,104,Musée-Ecole de la Tournivelle,COURLAY,79440,Nouvelle Aquitaine,Deux-Sèvres,Visite,Lieu de visite,True,False,False
105,105,Maison de la Forêt,MONTLIEU-LA-GARDE,17210,Nouvelle Aquitaine,Charente-Maritime,Loisir;Visite,Lieu de visite;Sortie nature,True,True,False
106,106,SAUVIGNON STEPHANIE,VIROLLET,17260,Nouvelle Aquitaine,Charente-Maritime,Hébergement,Meublé de tourisme,True,True,True
107,107,Office de Tourisme de La Colle sur Loup,LA COLLE-SUR-LOUP,6480,Provence Alpes-Côte d'Azur,Alpes-Maritimes,Information touristique,Office de tourisme,True,True,True
108,108,Gîte de l'hirondelle,AMBERNAC,16490,Nouvelle Aquitaine,Charente,Hébergement,Meublé de tourisme,True,False,False
109,109,Cave des vins de Jurançon,GAN,64290,Nouvelle Aquitaine,Pyrénées-Atlantiques,Visite,Visite d'entreprise,True,True,True
110,110,La Ferme du Pré Fleuri,SERMENTIZON,63120,Auvergne Rhône-Alpes,Puy-de-Dôme,Loisir,Etablissement de loisir;Sortie nature;Sport de nature,True,True,True
111,111,Office de Tourisme du Clermontais,CLERMONT-L'HERAULT,34800,Occitanie,Hérault,Information touristique,Office de tourisme,True,True,True
112,112,Office de Tourisme,BALARUC-LES-BAINS,34540,Occitanie,Hérault,Information touristique,Office de tourisme,True,True,True
113,113,Hôtel & Spa Villa Seren,SOORTS-HOSSEGOR,40150,Nouvelle Aquitaine,Landes,Hébergement;Information touristique;Restauration,"Café, bar, brasserie;Hôtel;Office de tourisme",True,True,True
114,114,Château Chéreau,LUSSAC,33570,Nouvelle Aquitaine,Gironde,Visite,Visite d'entreprise,True,True,False
115,115,Chambre d'hôtes Le Domaine d'Eugénie,POYANNE,40380,Nouvelle Aquitaine,Landes,Hébergement,Chambre d'hôtes,True,True,True
116,116,Camping Plages Ménéham - Kerlouan,KERLOUAN,29890,Bretagne,Finistère,Hébergement,Camping,True,True,True
117,117,Gite d'Etape l'Orée du bois,LANISCAT,22570,Bretagne,Côtes-d'Armor,Hébergement,Hébergement collectif,True,True,True
118,118,Salle de réception La Providence,JOUY,28300,Centre - Val de Loire,Eure-et-Loir,Loisir,Etablissement de loisir,True,False,False
119,119,Gîte La Petite Bourdonnière,CHEVERNY,41700,Centre - Val de Loire,Loir-et-Cher,Hébergement,Meublé de tourisme,True,False,False
120,120,Ethic Etapes Val de Loire,BLOIS,41000,Centre - Val de Loire,Loir-et-Cher,Hébergement;Information touristique;Restauration,"Café, bar, brasserie;Hébergement collectif;Partenaire de tourisme;Restaurant",True,True,True
121,121,Plage du Tierce,CAGNES-SUR-MER,6800,Provence Alpes-Côte d'Azur,Alpes-Maritimes,Loisir,Sortie nature,True,True,True
122,122,Forêt des Cèdres,BONNIEUX,84480,Provence Alpes-Côte d'Azur,Vaucluse,Loisir,Sortie nature,True,True,True
123,123,Gîte du Cœur,SUTRIEU,1260,Auvergne Rhône-Alpes,Ain,Hébergement,Meublé de tourisme,True,True,True
124,124,Office de Tourisme  de la Région de Condrieu,CONDRIEU,69420,Auvergne Rhône-Alpes,Rhône,Information touristique,Office de tourisme,True,True,True
125,125,Auberge Ferme du Villard,BRETTE,26340,Auvergne Rhône-Alpes,Drôme,Restauration,Restaurant,True,True,True
126,126,Hôtel du Nord,QUARRE-LES-TOMBES,89630,Bourgogne Franche-Comté,Yonne,Hébergement;Restauration,Hôtel;Restaurant,True,True,False
127,127,Office de Tourisme de Jura Sud,MOIRANS-EN-MONTAGNE,39260,Bourgogne Franche-Comté,Jura,Information touristique,Office de tourisme,True,True,True
128,128,Restaurant Espace Gourmand,BLETTERANS,39140,Bourgogne Franche-Comté,Jura,Restauration,Restaurant,True,True,False
129,129,Centre de vacances Theodore Monod,ERCKARTSWILLER,67290,Grand Est,Bas-Rhin,Hébergement,Hébergement collectif,True,True,False
130,130,CENTRE LES JONQUILLES,XONRUPT-LONGEMER,88400,Grand Est,Vosges,Hébergement,Hébergement collectif,True,True,True
131,131,CITE DES PAYSAGES,SAXON-SION,54330,Grand Est,Meurthe-et-Moselle,Visite,Lieu de visite,True,True,True
132,132,Office de tourisme du Grand Ried,RHINAU,67860,Grand Est,Bas-Rhin,Information touristique,Office de tourisme,True,True,True
133,133,Camping de l'Ile aux Loisirs,LE MUNG,17350,Nouvelle Aquitaine,Charente-Maritime,Hébergement,Camping,True,False,False
134,134,Chambres d'Hôtes La Faisanderie,EDON,16320,Nouvelle Aquitaine,Charente,Hébergement,Chambre d'hôtes,True,False,False
135,135,Chambres d'hôtes Au calme des Figuiers,SAINT-PIERRE-D'OLERON,17310,Nouvelle Aquitaine,Charente-Maritime,Hébergement,Chambre d'hôtes,True,True,True
136,136,Médiathèque de Rochefort,ROCHEFORT,17300,Nouvelle Aquitaine,Charente-Maritime,Loisir,Etablissement de loisir,True,False,False
137,137,Domaine du Breuil,COGNAC,16100,Nouvelle Aquitaine,Charente,Hébergement,Hôtel,True,False,False
138,138,Hôtel de l' Europe,LA ROCHE-POSAY,86270,Nouvelle Aquitaine,Vienne,Hébergement,Hôtel,True,True,False
139,139,Hôtel Txutxu Mutxu,BIARRITZ,64200,Nouvelle Aquitaine,Pyrénées-Atlantiques,Hébergement,Hôtel,True,True,True
140,140,Hôtel Valencia,HENDAYE,64700,Nouvelle Aquitaine,Pyrénées-Atlantiques,Hébergement,Hôtel,True,True,True
141,141,HÔTEL OXO,BIARRITZ,64200,Nouvelle Aquitaine,Pyrénées-Atlantiques,Hébergement,Hôtel,True,False,False
142,142,Le musée de l'île d'Oléron,SAINT-PIERRE-D'OLERON,17310,Nouvelle Aquitaine,Charente-Maritime,Visite,Lieu de visite,True,True,True
143,143,LE NOMBRIL DU MONDE,POUGNE-HERISSON,79130,Nouvelle Aquitaine,Deux-Sèvres,Visite,Lieu de visite,True,True,False
144,144,Meublé de Tourisme Le Carrelet,CHAMBON,17290,Nouvelle Aquitaine,Charente-Maritime,Hébergement,Meublé de tourisme,True,False,False
145,145,Meublé de Tourisme Le Cerisier,SAINT-GERMAIN-DE-LUSIGNAN,17500,Nouvelle Aquitaine,Charente-Maritime,Hébergement,Meublé de tourisme,True,True,False
146,146,Gite de M. Chastanet,VIGEOIS,19410,Nouvelle Aquitaine,Corrèze,Hébergement,Meublé de tourisme,True,True,False
147,147,Villa Rachel,LACANAU,33680,Nouvelle Aquitaine,Gironde,Hébergement,Meublé de tourisme,True,False,False
148,148,Gite des Marsaudières,CHANTELOUP,79320,Nouvelle Aquitaine,Deux-Sèvres,Hébergement,Meublé de tourisme,True,True,False
149,149,Meublé de Tourisme La Campagne,SAINT-PIERRE-D'AMILLY,17700,Nouvelle Aquitaine,Charente-Maritime,Hébergement,Meublé de tourisme,True,False,False
150,150,Gîte de Mme Bousseyrol,VITRAC-SUR-MONTANE,19800,Nouvelle Aquitaine,Corrèze,Hébergement,Meublé de tourisme,True,True,False
151,151,Le Relais de l'Aurival Gîte de groupe,COUX-ET-BIGAROQUE,24220,Nouvelle Aquitaine,Dordogne,Hébergement,Meublé de tourisme,True,True,True
152,152,Gîte du Mascaret,VAYRES,33870,Nouvelle Aquitaine,Gironde,Hébergement,Meublé de tourisme,True,False,False
153,153,Gîte du Hameau de Pau,PAU,64000,Nouvelle Aquitaine,Pyrénées-Atlantiques,Hébergement,Meublé de tourisme,True,True,False
154,154,Meublé - Logement 3,SANSAIS,79270,Nouvelle Aquitaine,Deux-Sèvres,Hébergement,Meublé de tourisme,True,False,False
155,155,Meublé Les Chênes,SAINT-MARD,17700,Nouvelle Aquitaine,Charente-Maritime,Hébergement,Meublé de tourisme,True,True,True
156,156,Gite L'Ecurie,MONCOUTANT,79320,Nouvelle Aquitaine,Deux-Sèvres,Hébergement,Meublé de tourisme,True,False,False
157,157,Office de Tourisme Communautaire de Bidache,BIDACHE,64520,Nouvelle Aquitaine,Pyrénées-Atlantiques,Information touristique,Office de tourisme,True,True,False
158,158,Office de Tourisme de Soulac sur Mer,SOULAC-SUR-MER,33780,Nouvelle Aquitaine,Gironde,Information touristique,Office de tourisme,True,True,False
159,159,Office de Tourisme de Mios.,MIOS,33380,Nouvelle Aquitaine,Gironde,Information touristique,Office de tourisme,True,True,False
160,160,Bureau d'accueil touristique d'Ainhoa,AINHOA,64250,Nouvelle Aquitaine,Pyrénées-Atlantiques,Information touristique,Office de tourisme,True,True,True
161,161,Restaurant l'Espada de Fébus,MONTANER,64460,Nouvelle Aquitaine,Pyrénées-Atlantiques,Restauration,Restaurant,True,True,True
162,162,VVF Villages Le Cap Ferret,LEGE-CAP-FERRET,33950,Nouvelle Aquitaine,Gironde,Hébergement,Village de vacances,True,True,True
163,163,Base de Loisirs d'Heurtebise située à Jonzac,JONZAC,17500,Nouvelle Aquitaine,Charente-Maritime,Loisir,Sortie nature,True,False,False
164,164,Plage du Lac,BRUGES,33520,Nouvelle Aquitaine,Gironde,Loisir,Sortie nature,True,True,False
165,165,Médiathèque Grain d'Sel,CARCASSONNE,11000,Occitanie,Aude,Visite,Lieu de visite,True,True,True
166,166,Site multi-pêche de Juliasse,GRISOLLES,82170,Occitanie,Tarn-et-Garonne,Loisir,Loisir éducatif;Sortie nature,True,True,True
167,167,Gîte La Grance aux Roses,SAINTE-HELENE,48190,Occitanie,Lozère,Hébergement,Meublé de tourisme,True,True,True
168,168,Gîte d'étape et de séjour Château de Villarel,BRISSAC,34190,Occitanie,Hérault,Hébergement,Meublé de tourisme,True,True,True
169,169,Chambre d'hôtes Le Domaine de Bollée,LE MANS,72000,Pays de la Loire,Sarthe,Hébergement,Chambre d'hôtes,True,True,True
170,170,Grand Hôtel de Solesmes,SOLESMES,72300,Pays de la Loire,Sarthe,Hébergement,Hôtel,True,True,True
171,171,Office de Tourisme de La-Plaine-sur-Mer,LA PLAINE-SUR-MER,44770,Pays de la Loire,Loire-Atlantique,Information touristique,Office de tourisme,True,True,True
172,172,Logis La Pacifique,LA TRANCHE-SUR-MER,85360,Pays de la Loire,Vendée,Hébergement,Village de vacances,True,True,True
173,173,Bateau à passagers Clairmarais II - ISNOR,CLAIRMARAIS,62500,Hauts de France,Pas-de-Calais,Loisir,Etablissement de loisir,True,False,False
174,174,Site Ornithologique des 5 Tailles,THUMERIES,59239,Hauts de France,Nord,Visite,Lieu de visite,True,True,False
175,175,Gite Au Champ du Lievre,NORTKERQUE,62370,Hauts de France,Pas-de-Calais,Hébergement,Meublé de tourisme,True,True,True
176,176,Camping le Clos Normand,COUTERNE,61410,Normandie,Orne,Hébergement,Camping,True,True,True
177,177,Office de Tourisme de Lyons La Forêt,LYONS-LA-FORET,27480,Normandie,Eure,Information touristique,Office de tourisme,True,True,True
178,178,PARC ZOOLOGIQUE DE CHAMPREPUS,CHAMPREPUS,50800,Normandie,Manche,Loisir;Restauration;Visite,Parc de loisir;Parc à thème;Restaurant,True,True,True
179,179,GITES DE LA VERDIERE,CHERRUEIX,35120,Bretagne,Ille-et-Vilaine,Hébergement,Meublé de tourisme,True,True,True
180,180,CHAMBRES HOTES LO REY DU LAC,SOORTS-HOSSEGOR,40150,Nouvelle Aquitaine,Landes,Hébergement,Chambre d'hôtes,True,True,False
181,181,LA NEF GRAND ANGOULEME,ANGOULEME,16000,Nouvelle Aquitaine,Charente,Loisir,Etablissement de loisir,True,False,False
182,182,PONTON PECHE n° 1 et 2,PARENTIS-EN-BORN,40160,Nouvelle Aquitaine,Landes,Loisir,Etablissement de loisir,True,True,True
183,183,Hôtel La Belle Poule,ROCHEFORT,17300,Nouvelle Aquitaine,Charente-Maritime,Hébergement,Hôtel,True,True,True
184,184,MEUBLE LE NID,SURGERES,17700,Nouvelle Aquitaine,Charente-Maritime,Hébergement,Meublé de tourisme,True,False,False
185,185,La Renaissance,SAINT-JUNIEN,87200,Nouvelle Aquitaine,Haute-Vienne,Hébergement,Meublé de tourisme,True,True,True
186,186,RESTAURANT SO GOOD BACALAN,BORDEAUX,33000,Nouvelle Aquitaine,Gironde,Restauration,Restaurant,True,True,True
187,187,BISTROT OUSTRAU GRIGT,SAUVELADE,64150,Nouvelle Aquitaine,Pyrénées-Atlantiques,Restauration,Restaurant,True,True,True
188,188,MANOIR SAINT ELOI,NOYON,60400,Hauts de France,Oise,Hébergement;Restauration,Hôtel;Restaurant,True,True,True
189,189,Gite Le Chêne,PLEUDANIEL,22740,Bretagne,Côtes-d'Armor,Hébergement,Meublé de tourisme,True,True,False
