,Unnamed: 0,Nom de l'établissement,Commune,CP,Région,Département,Categorie_filiere,activite,Cognitif,Physique,Sensoriel
1927,1927,Office de Tourisme de Mornac sur Seudre -  Destination Royan Atlantique,MORNAC-SUR-SEUDRE,17113,Nouvelle Aquitaine,Charente-Maritime,Information touristique,Office de tourisme,True,True,True
1928,1928,restaurant du Lac des Arroques,GUICHE,64520,Nouvelle Aquitaine,Pyrénées-Atlantiques,Restauration,Restaurant,True,True,True
1929,1929,Café du Levant,BORDEAUX,33000,Nouvelle Aquitaine,Gironde,Restauration,Restaurant,True,True,True
1930,1930,La boucherie,PAU,64000,Nouvelle Aquitaine,Pyrénées-Atlantiques,Restauration,Restaurant,True,True,True
1931,1931,Poste de pêche,SAINT-LEONARD-DE-NOBLAT,87400,Nouvelle Aquitaine,Haute-Vienne,Loisir,Sortie nature,True,True,True
1932,1932,Centre Nautique Manuréva,BALARUC-LES-BAINS,34540,Occitanie,Hérault,Loisir,Etablissement de loisir,True,True,True
1933,1933,L'Hôtel Particulier Béziers,BEZIERS,34500,Occitanie,Hérault,Hébergement,Hôtel,True,False,False
1934,1934,Office de Tourisme de Carbonne,CARBONNE,31390,Occitanie,Haute-Garonne,Information touristique,Office de tourisme,True,True,False
1935,1935,OFFICE de TOURISME LEUCATE - CAT 1,LEUCATE,11370,Occitanie,Aude,Information touristique,Office de tourisme,True,True,True
1936,1936,BUREAU D'INFORMATION TOURISME DE VINCA (CAVE VINICOLE),VINCA,66320,Occitanie,Pyrénées-Orientales,Information touristique,Office de tourisme,True,True,True
1937,1937,Restaurant du Golf,LOURDES,65100,Occitanie,Hautes-Pyrénées,Restauration,Restaurant,True,True,True
1938,1938,Voie Verte des Gaves,LOURDES,65100,Occitanie,Hautes-Pyrénées,Loisir,Sortie nature,True,True,True
1939,1939,Camping Municipal de la Vègre,TENNIE,72240,Pays de la Loire,Sarthe,Hébergement,Camping,True,True,True
1940,1940,Hotel La Villa En L'Ile,NOIRMOUTIER-EN-L'ILE,85330,Pays de la Loire,Vendée,Hébergement,Hôtel,True,True,True
1941,1941,Vignoble Epiard,SAINT-PHILBERT-DE-BOUAINE,85660,Pays de la Loire,Vendée,Visite,Visite d'entreprise,True,True,False
1942,1942,Gite La Grande Maison,ILE-DE-BATZ,29253,Bretagne,Finistère,Hébergement,Meublé de tourisme,True,True,True
1943,1943,CAMPING LE PORT,MAREUIL-SUR-CHER,41110,Centre - Val de Loire,Loir-et-Cher,Hébergement,Camping,True,True,False
1944,1944,Musée d'art et d'archéologie,AURILLAC,15000,Auvergne Rhône-Alpes,Cantal,Visite,Lieu de visite,True,False,False
1945,1945,Auberge du Bougnat,SAINT-VICTOR-LA-RIVIERE,63790,Auvergne Rhône-Alpes,Puy-de-Dôme,Restauration,Restaurant,True,True,True
1946,1946,Office de Tourisme du Pays Grenadois,GRENADE-SUR-L'ADOUR,40270,Nouvelle Aquitaine,Landes,Information touristique,Office de tourisme,True,True,True
1947,1947,OFFICE TOURISME MIOS,MIOS,33380,Nouvelle Aquitaine,Gironde,Information touristique,Office de tourisme,True,False,False
1948,1948,Le vert gazon,FORT-MAHON-PLAGE,80790,Hauts de France,Somme,Hébergement;Restauration,"Café, bar, brasserie;Camping",True,True,True
1949,1949,Hôtel les Palis,GRAND-FOUGERAY,35390,Bretagne,Ille-et-Vilaine,Hébergement,Hôtel,True,False,False
1950,1950,Gite Le Styvell,PLOUGOULM,29250,Bretagne,Finistère,Hébergement,Meublé de tourisme,True,True,True
1951,1951,Gîte les Vallées,MANOU,28240,Centre - Val de Loire,Eure-et-Loir,Hébergement,Meublé de tourisme,True,True,False
1952,1952,La petite lucasserie,CHAMPROND-EN-GATINE,28240,Centre - Val de Loire,Eure-et-Loir,Hébergement,Meublé de tourisme,True,True,False
1953,1953,Musée Départemental Stéphane Mallarmé,VULAINES-SUR-SEINE,77870,Ile-de-France,Seine-et-Marne,Visite,Lieu de visite,True,False,False
1954,1954,Jardin La Roseraie de Provins,PROVINS,77160,Ile-de-France,Seine-et-Marne,Information touristique;Loisir;Visite,Etablissement de loisir;Parc de loisir;Partenaire de tourisme;Sortie nature;Visite guidée,True,True,True
1955,1955,Restaurant Grill Courtepaille,BELFORT,90000,Bourgogne Franche-Comté,Territoire de Belfort,Restauration,Restaurant,True,True,True
1956,1956,Piscine Olympique Nancy Thermal,NANCY,54100,Grand Est,Meurthe-et-Moselle,Loisir,Etablissement de loisir,True,True,True
1957,1957,Chambres d'hôtes - -Le four à pain,MONTLIEU-LA-GARDE,17210,Nouvelle Aquitaine,Charente-Maritime,Hébergement,Chambre d'hôtes,True,True,True
1958,1958,"Gîte d'étape et de séjour ""el Passatge""",TAURINYA,66500,Occitanie,Pyrénées-Orientales,Hébergement,Hébergement collectif;Meublé de tourisme,True,True,True
1959,1959,Maison du Parc National des Pyrénées - Espace Muséographique,ARRENS-MARSOUS,65400,Occitanie,Hautes-Pyrénées,Visite,Lieu de visite,True,True,True
1960,1960,MAS LOUBIAIS,PUISSERGUIER,34620,Occitanie,Hérault,Hébergement,Meublé de tourisme,True,True,True
1961,1961,Chambres d'hôtes Aubépine et Glycine - Chambres d'Hôtes La Halte du Pélerin,THORIGNY,85480,Pays de la Loire,Vendée,Hébergement,Chambre d'hôtes,True,True,False
1962,1962,Théâtre du Chevalet,NOYON,60400,Hauts de France,Oise,Loisir,Etablissement de loisir,True,True,False
1963,1963,Gîte rural n° 2092 - La Gallicine,SAINT-VAAST-DIEPPEDALLE,76450,Normandie,Seine-Maritime,Hébergement,Meublé de tourisme,True,False,False
1964,1964,Centre de Plein-Air de Lathus,LATHUS-SAINT-REMY,86390,Nouvelle Aquitaine,Vienne,Hébergement;Restauration,"Café, bar, brasserie;Hébergement collectif;Restaurant",True,True,False
1965,1965,CHATEAU DE LA ROZELLE,CELLETTES,41120,Centre - Val de Loire,Loir-et-Cher,Hébergement,Hôtel,True,False,False
1966,1966,Plan d'eau de la Paquerie,TREHET,41800,Centre - Val de Loire,Loir-et-Cher,Loisir;Visite,Lieu de visite;Sortie nature,True,True,True
1967,1967,Plage de l'Argentière,LA LONDE-LES-MAURES,83250,Provence Alpes-Côte d'Azur,Var,Loisir,Sortie nature,True,True,False
1968,1968,SauveTerre Musée de Préhistoire,SAUVETERRE-LA-LEMANCE,47500,Nouvelle Aquitaine,Lot-et-Garonne,Visite,Lieu de visite,True,True,True
1969,1969,Office de Tourisme du Grand Périgueux,PERIGUEUX,24000,Nouvelle Aquitaine,Dordogne,Information touristique,Office de tourisme,True,True,True
1970,1970,Le Familia - Brasserie des Halles,BORDEAUX,33000,Nouvelle Aquitaine,Gironde,Restauration,"Café, bar, brasserie;Restaurant",True,True,True
1971,1971,Musée d'Art Moderne Donation Jardot,BELFORT,90000,Bourgogne Franche-Comté,Territoire de Belfort,Visite,Lieu de visite,True,False,False
1972,1972,Chambres d'Hôtes Les Ouches,DHUIZON,41220,Centre - Val de Loire,Loir-et-Cher,Hébergement,Chambre d'hôtes,True,False,False
1973,1973,Les Ferme des Espars,ARVIEUX,5350,Provence Alpes-Côte d'Azur,Hautes-Alpes,Visite,Lieu de visite,True,True,True
1974,1974,Maison de la Boucheyronne,APT,84400,Provence Alpes-Côte d'Azur,Vaucluse,Hébergement,Résidence de tourisme,True,True,False
1975,1975,Appartement 2 - Les gîtes des cinq chemins,MAZAYE,63230,Auvergne Rhône-Alpes,Puy-de-Dôme,Hébergement,Meublé de tourisme,True,False,False
